 id	sentiment	
12311_10	1	Takes an active role in discussions.
8348_2	1	Consistently cooperates with the teacher and other students.
5828_4	1	Listens well and shares ideas frequently.
7186_2	1	Works democratically with peers.
12128_7	1	Shows self-confidence in�
2913_8	1	Works well in groups, planning and carrying out activities.
4396_1	1	Follows directions well.
395_2	1	An enthusiastic learner who enjoys school.
10616_1	1	Tackles new challenges with a positive attitude.
9074_9	1	Has a positive attitude about school.
9252_3	1	Consistently makes good choices during the school day.
9896_9	1	Shows respect for peers and teachers.
574_4	1	Transitions easily between classroom activities and is not a distraction to others.
11182_8	1	Is sensitive to the thoughts and opinions of others.
11656_4	1	Is a leader and positive role model for students.
2322_4	1	Is enthusiastic about participating.
8703_1	1	Takes an active part in discussions about (topic).
7483_1	1	Speaks with confidence.
6007_10	1	Volunteers often.
12424_4	1	Has a great sense of humor and enjoys our class assignments.
4672_1	1	Uses class time wisely.
10841_3	1	Is a self-motivated student.
8954_7	1	Completes work on time.
7392_1	1	Is very organized.
10288_8	1	Demonstrates problem-solving skills and is persistent.
5343_4	1	Has done a great job facing and overcoming big challenges this year.
4950_1	1	Is very responsible and turns in work on time.
9257_4	1	Is a flexible learner and adapts to changes easily.
8689_3	1	Has made improvements in the area of�
4480_2	1	Has strengthened his/her skills in�
9286_10	1	Has demonstrated very good progress this year.
12245_10	1	Is learning how to be a better listener and takes direction well.
7529_7	1	Has worked very hard this year and has made strong gains in the area of ______.
4_4	1	Has shown great improvement with ______.
5299_2	1	Is progressing nicely and shows consistent improvement in many areas of schoolwork, including ______.
12077_8	1	Is learning to be cooperative when working in groups.
10701_2	1	Is developing more positive ways to interact with others.
11579_1	1	Is listening to directions more carefully.
10993_1	1	Has continued to make steady progress with�
8913_1	1	Has shown noticeable improvement in�
1350_3	1	Is willing to learn new writing skills and quickly applies these skills within his/her writing.
3804_2	1	Understands and applies the correct use of punctuation within writing.
5025_3	1	Writing is clear and follows grammar and punctuation rules.
5170_8	1	Enjoys writing stories and can construct unique and interesting sentences.
8225_8	1	Is able to create clear and effective writing that is interesting to read and easy to comprehend.
6427_7	1	Has shown great improvement with his/her writing skills and is consistently increasing his or her writing comprehension and techniques.
3165_3	1	Uses various strategies to solve one- and two-step word problems.
7902_9	1	Demonstrates a good understanding of math concepts.
8208_3	1	Demonstrates strong problem-solving skills.
3577_8	1	Has strengthened his/her critical thinking and problem-solving skills.
4865_1	1	If _____ continues to put out the effort he has demonstrated in the last two reporting periods, he will benefit greatly from his education.
9063_3	1	The following ideas might help him enhance his _____.
1106_1	1	I'm hoping that the current level of enthusiasm and progress will continue.
1117_9	1	In all academic disciplines, _____ is improving. She's having a hard time with____.
1050_4	1	She has a long way to go, but if she works hard enough, she will see results soon.
10755_9	1	_____ takes tremendous pride in his work and always completes it neatly.
2729_8	1	In ______, _____ is quite strong.
10072_10	1	_____ has received an excellent grade on his report card.
2904_7	1	______ is something that _____ knows a lot about.
4584_2	1	_____ is a bright and hardworking student who excels in_____
189_4	1	In all of the fundamental subjects, _____ is performing admirably.
6302_4	1	In ______, _____ is working over grade level.
8138_9	1	_____ is particularly skilled at______.
1262_1	1	The independence of _____ is increasing.
2199_10	1	_____ has steadily improved.
6551_7	1	_____ has been steadily improving.
8082_7	1	In ______, _____ has demonstrated a positive attitude toward wanting to improve.
4897_8	1	_____ appears to be eager to learn more. In _______, _____ has experienced rapid expansion.
7360_1	1	Academically, _____ is making steady progress.
11012_10	1	The quality of _____'s work is improving.
12046_1	1	_____ has improved her _____ abilities.
2331_2	1	_____ has demonstrated a positive desire to improve herself in _____.
8961_9	1	If he were more interested in _______, his performance would increase.
751_7	1	This reporting period, _____ has made significant progress.
9884_10	1	I'm pleased to see that _____ is maturing well, and I hope that this trend continues.
10016_8	1	The classroom attitude of _____ has improved.
8023_10	1	The handiwork of _____ is superb.
2628_1	1	_____ appreciates doing nice, meticulous work.
5832_1	1	The work of _____ is tidy and precise.
